OBJECTID,NUMBER_OF_RACKS,CAPACITY,TYPE,GLOBALID,x,y
1,1,2,Sub-Standard,25ea1ce7-15c2-4739-85c4-84d61b7c033e,6516579.50521547,1871805.97018924
2,1,2,Inverted U,b3efaa18-5bac-4919-ab01-d8d424d9ee1a,6516198.26355335,1872986.3742947
3,2,4,Inverted U,70725817-3517-49a3-b9ab-a5aa8bbaa720,6516194.5126434,1873121.14140002
4,1,2,Inverted U,a9214aac-a5e2-4c60-ab70-fec6fd95b90f,6516195.08064581,1873173.44430521
5,1,2,Inverted U,9a6d2c10-a5f0-4e36-9368-4c77711080fd,6516196.50989163,1873208.59732966
6,1,2,Inverted U,7709d414-f368-4be9-aa21-1ecc62b8735e,6516189.52530679,1874235.2180068
7,1,2,Inverted U,e5b41294-9110-4fef-8c3e-59401ba0e478,6516187.81126904,1874432.45205395
8,1,2,Inverted U,2202816f-c856-403a-b9b3-fba6575d253d,6516152.37619092,1879980.72501869
9,1,2,Inverted U,7753bb49-67c7-4641-ba55-c3ae597f935e,6516184.085384,1880543.22190741
10,5,10,Sub-Standard,d3807692-b1c1-4857-bcf6-d094f36fd16c,6516188.49946132,1881860.46965833
11,1,2,Sub-Standard,60d4eb35-4218-40c3-aeab-06aa333959e0,6516136.30150259,1882962.9701443
12,1,2,Inverted U,9253ed73-ddf9-4a0e-8bd5-5e539915651a,6516107.43148699,1888142.72509666
13,4,8,Sub-Standard,b5fb8280-6185-4999-8da3-696ecf1a8598,6516494.8615641,1883968.81309061
14,2,4,Inverted U,7d0d5aae-0de1-4d91-ae4c-c89e03c6ff92,6525539.01511182,1878867.65705185
15,2,4,Inverted U,ea7f51f8-9ffe-4263-bff5-792a900c805a,6525800.10503437,1878680.19662935
16,1,2,Inverted U,e5e6d412-e97e-4e25-a675-4c71f8e82b3e,6521609.34221643,1872759.85063647
17,1,2,Inverted U,44a401af-9810-4794-86ac-b1033405df8a,6521614.45299362,1872510.86082026
18,1,4,Wave,02f38e55-fc15-4e94-84aa-c29675dfe838,6521607.21862829,1872045.29403622
19,1,2,Sub-Standard,8f4700b5-0eab-4dd1-83be-e26cf63914ef,6521542.03296241,1871831.29716706
20,1,5,Wave,f5d0ef1e-a77d-4066-b374-6f6e3a8d4af3,6521624.26855585,1871746.98759602
21,1,2,Inverted U,08dd4742-d4d8-48e6-a014-1d07f2599dcd,6521724.26445326,1871832.53794268
22,1,2,Inverted U,b223cbdf-1085-43fa-aa35-706d58c4c507,6521894.29070093,1871896.31874336
23,1,2,Inverted U,272f81fa-aeec-42e1-be56-808662b005ab,6521685.87776859,1872197.47105291
24,1,2,Inverted U,0cc0e0f2-e515-4ec3-9a66-20ef94d512f4,6521683.02022877,1873082.4933376
25,1,2,Inverted U,c77a970e-3f7a-41ed-9346-441c5ae5e884,6521684.17100844,1873131.91010517
26,1,4,Wave,5805f5d6-629d-468f-8039-428a0e575728,6521685.54841797,1873235.25762691
27,1,2,Inverted U,8cf1c349-e1c9-4953-9e8c-bebe53b6019f,6521775.82508954,1873717.93762559
28,1,2,Inverted U,daf85ecc-a8cb-437c-9cb6-0ef9e8036fdd,6521667.59539732,1873782.97621706
29,1,2,Inverted U,95a5dae1-04c4-4be0-9d73-d7eb174d1fe5,6521663.4588197,1874120.19316639
30,1,4,Wave,af8b20fd-0a4d-4a46-a1d3-8889040d7d3b,6521671.21165015,1874734.35234319
31,1,2,Inverted U,6a474ed1-2d35-4182-b993-1a6fb25f81ff,6521783.81632286,1875098.6413659
32,2,4,Inverted U,6bec78ab-5c8d-480d-a202-82c1a009f743,6521533.69843832,1875074.79227798
33,1,2,Inverted U,f626dbbd-6436-43ce-9115-ea6ada2ba27c,6521594.31161878,1874543.75836009
34,1,4,Wave,807863a0-667b-4aac-a0e8-3427e6e8ebaf,6521597.07296865,1874106.01102877
35,1,2,Inverted U,3bbaa5ad-9a0f-4974-9a35-99132b817a15,6521601.56455144,1873834.21122205
36,1,2,Inverted U,deba2d9b-45f2-43f3-bd28-b981c7e937f1,6521604.78036183,1873307.92046854
37,1,2,Inverted U,5494ff16-f08b-43e5-9949-3617b0ac2f37,6521606.00160365,1873294.5552206
38,10,20,Sub-Standard,34e4b12b-67b8-4ac5-a5c4-d33dbc23a1d1,6511993.85683098,1877685.85001409
39,1,2,Inverted U,339572cd-e43a-4664-9ed8-808aed5f0f06,6521507.78656004,1876157.84239283
41,1,2,Inverted U,eb9e76cf-bfce-46e7-bb08-dd054414c9e3,6514463.19488655,1875712.7546515
42,1,2,Inverted U,30fc0962-735c-46b1-ab4e-82f9b66ea007,6514463.95232563,1875761.03778638
43,1,2,Sub-Standard,00c35b9d-93a8-4649-81df-09e9d6e80a04,6518948.7647431,1875048.63348924
44,1,2,Sub-Standard,ab324c3b-f928-4668-8bee-f07630c96e86,6520653.85235579,1875035.91541851
45,1,2,Sub-Standard,15ecbf97-a7d4-4bf2-85fe-66c8e2d5c3b0,6521115.28121506,1875038.56123501
46,1,2,Sub-Standard,f7427799-1c5f-45b6-9c4a-9da329b48ee8,6522450.91897804,1874996.58645603
47,1,2,Inverted U,cc740ff1-a18f-45cd-a425-26013cc44e40,6515059.27392669,1875321.40616302
48,1,2,Inverted U,fa5c9245-bab3-46c2-8e4c-cd3823796040,6515783.73658296,1875430.95854385
49,1,2,Inverted U,4f63c9f4-315c-4b34-966d-5ac74ff47fe0,6515816.28569919,1875433.31937806
50,3,6,Sub-Standard,3caa6c66-c733-4602-b60b-b19a316fe193,6516282.4793652,1875285.50857072
51,4,8,Inverted U,1ab78a69-dec8-496e-97b7-baf98717c5a7,6516509.94931343,1875309.15394506
52,1,2,Inverted U,ecfc31ea-352c-4d89-a596-af7c081a5297,6516550.27482072,1875441.93614621
53,1,2,Bollard,0107e276-d2da-4110-8467-eff75596b56d,6519054.29766113,1875455.79957868
54,1,2,Bollard,99a87807-7ad0-473a-b579-38e97a8c67d3,6519336.99610044,1875460.06037296
55,1,2,Bollard,9ac40f1e-51ef-4e44-8e24-2aca8685ec37,6520054.43898472,1875463.79464847
56,1,2,Bollard,a568e923-d8b4-4cba-8ee3-d29a973d2f0d,6520241.00729638,1875386.02581792
57,1,2,Bollard,36e8b8c8-8695-47e3-bc6c-5852516a1d8c,6520241.3996266,1875205.99624068
58,1,2,Bollard,afdd1ff8-6e24-4d94-a794-af3aca5c6dc1,6520319.64243679,1875462.88187633
59,1,2,Bollard,bedd5ca1-04ce-407d-8dd7-a3ef4c6dfa94,6520482.15629227,1875461.84359893
60,1,2,Bollard,b74dbc49-0db7-499a-ba6d-1900b0745f7d,6520964.39808418,1875467.67905878
61,1,2,Bollard,bb73dd40-d23f-47eb-b294-08aaa927ad72,6521277.1053554,1875473.08033867
62,1,2,Bollard,5f2c05d8-df0d-4e40-a27d-ceb23862629a,6521521.40038773,1875478.57678351
63,1,2,Bollard,3f0a0f99-d1e5-4ff8-ad60-40ee0d8161a9,6521554.12243794,1875543.89615473
64,1,2,Bollard,91035395-c40c-4423-a97b-962515f9c027,6521254.85242897,1875542.97237104
65,1,2,Bollard,14a540b7-4430-46a1-9c0a-7e1d2d5c1c1c,6520513.53562222,1875541.21627857
66,1,2,Bollard,5d7567e0-2ad1-4420-ad7b-a463614cb498,6520392.81574845,1875538.50497851
67,1,2,Bollard,47b9ff2f-b650-429f-88bc-34c9962c9e80,6519915.37791871,1875544.83727573
68,1,2,Bollard,494393b7-a36b-473d-bd1c-f79cba96b60c,6519703.82848252,1875536.12642625
69,2,4,Bollard,0d81353b-cd3c-462b-a634-c6213ffe5e33,6519415.60071018,1875738.16481626
70,1,2,Bollard,ec6eca0c-7fe7-43d7-b605-cde8c507fb87,6519142.42611501,1875532.62466712
71,2,4,Inverted U,ae10b428-ff52-4dcb-a0a7-5576d49ea49c,6516943.75252025,1875514.79151416
72,2,4,Inverted U,6299ce65-63ef-403e-8d3e-2d51de8f4ccb,6515809.70464648,1875503.55188975
73,1,2,Inverted U,c81efc2c-324c-4e56-9152-66857b93460d,6515522.23667073,1875501.06748316
74,1,2,Inverted U,6fad5d8b-f182-48f4-94ab-f5261b635ffc,6515374.31699258,1875511.1182268
75,1,2,Bollard,6b60c40b-f510-46e0-b49d-485af69573bc,6519669.51393159,1875439.25545004
76,1,2,Bollard,608f8453-a6bd-41d6-8c24-4cd234c03ea5,6519737.99033615,1875140.44924384
77,1,2,Inverted U,b40aadd7-6abd-4b9a-b1b3-b8dee3d1a3f3,6541064.60629521,1881371.11433522
78,1,2,Inverted U,4e5cdc48-f89f-4832-be2a-13bb9ffd656d,6541026.37473862,1877046.85116427
79,1,2,Inverted U,5ac2cbe0-0513-4090-a403-6ceff22222db,6537937.96622548,1878687.36975759
80,1,2,Inverted U,8cb26220-6f76-4d05-8108-30b95a390e08,6539185.25998944,1877014.5296883
81,1,2,Inverted U,2f563d52-d53a-4ef3-8c17-3791958f3169,6537747.59067219,1877061.44872414
82,1,2,Inverted U,2561ba17-f426-4dad-883f-2e48c05e7b57,6537851.51656361,1877007.95009989
83,6,12,Inverted U,e25605e6-d414-448f-8293-85613c6e0f48,6537153.66990948,1876456.76853995
84,1,2,Inverted U,f71b77d7-503e-4496-a82a-afac5cfbe18f,6536705.46683811,1877270.73404318
85,1,2,Inverted U,fc6004ff-faf8-454c-bbf6-cc6783ecfa74,6534015.94267838,1876997.55836444
86,1,2,Inverted U,0c59abea-06cd-4b62-b6f5-942242e9b58f,6533891.2789876,1876992.86806133
87,1,2,Inverted U,3483a74c-9ba6-4974-870f-d0ba50bac8cc,6532757.27220212,1877038.04777095
88,1,2,Inverted U,efe592b3-94c1-4928-9292-28908162c5e5,6532273.0464139,1876900.24552071
89,1,2,Inverted U,59f058ef-1241-4988-b45b-fbe03de82b13,6531975.2697725,1876957.1307075
90,1,2,Inverted U,e719d6e9-2214-4112-90f1-c2d958c2b63e,6530504.83444673,1876801.16220507
91,1,2,Inverted U,4fb420b1-0794-447e-aa71-15a42002726c,6529628.43226878,1876803.18305784
92,1,2,Inverted U,ada3ac04-7a2b-4742-88b6-aca19b8d2202,6529447.00397642,1876829.00264122
93,1,2,Inverted U,9b009f5b-11bb-429d-9343-717f2a384f65,6529025.88500035,1876959.22946109
